"INDIC","Indicator","LOCATION","Country","CPL_COUNTRY","Country currency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPL","Comparative price levels","CHL","Chile","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,73,,
"CPL","Comparative price levels","EST","Estonia","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,72,,
"CPL","Comparative price levels","ISR","Israel","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,121,,
"CPL","Comparative price levels","SVN","Slovenia","AUT","Austria EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,78,,
"CPL","Comparative price levels","AUS","Australia","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,119,,
"CPL","Comparative price levels","AUT","Austria","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,97,,
"CPL","Comparative price levels","BEL","Belgium","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,100,,
"CPL","Comparative price levels","CAN","Canada","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,101,,
"CPL","Comparative price levels","CZE","Czech Republic","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,64,,
"CPL","Comparative price levels","DNK","Denmark","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,126,,
"CPL","Comparative price levels","FIN","Finland","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,109,,
"CPL","Comparative price levels","FRA","France","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,98,,
"CPL","Comparative price levels","DEU","Germany","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,94,,
"CPL","Comparative price levels","GRC","Greece","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,75,,
"CPL","Comparative price levels","HUN","Hungary","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,55,,
"CPL","Comparative price levels","ISL","Iceland","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,146,,
"CPL","Comparative price levels","IRL","Ireland","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,109,,
"CPL","Comparative price levels","ITA","Italy","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,91,,
"CPL","Comparative price levels","JPN","Japan","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,89,,
"CPL","Comparative price levels","KOR","Korea","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,87,,
"CPL","Comparative price levels","LUX","Luxembourg","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,113,,
"CPL","Comparative price levels","MEX","Mexico","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,53,,
"CPL","Comparative price levels","NLD","Netherlands","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,100,,
"CPL","Comparative price levels","NZL","New Zealand","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,111,,
"CPL","Comparative price levels","NOR","Norway","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,123,,
"CPL","Comparative price levels","POL","Poland","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,52,,
"CPL","Comparative price levels","PRT","Portugal","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,75,,
"CPL","Comparative price levels","SVK","Slovak Republic","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,62,,
"CPL","Comparative price levels","ESP","Spain","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,83,,
"CPL","Comparative price levels","SWE","Sweden","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,110,,
"CPL","Comparative price levels","CHE","Switzerland","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,134,,
"CPL","Comparative price levels","TUR","Turkey","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,45,,
"CPL","Comparative price levels","GBR","United Kingdom","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,104,,
"CPL","Comparative price levels","USA","United States","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,94,,
"CPL","Comparative price levels","CHL","Chile","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,70,,
"CPL","Comparative price levels","EST","Estonia","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,70,,
"CPL","Comparative price levels","ISR","Israel","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,117,,
"CPL","Comparative price levels","SVN","Slovenia","BEL","Belgium EUR","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,75,,
"CPL","Comparative price levels","AUS","Australia","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,118,,
"CPL","Comparative price levels","AUT","Austria","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,96,,
"CPL","Comparative price levels","BEL","Belgium","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,99,,
"CPL","Comparative price levels","CAN","Canada","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,100,,
"CPL","Comparative price levels","CZE","Czech Republic","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,63,,
"CPL","Comparative price levels","DNK","Denmark","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,124,,
"CPL","Comparative price levels","FIN","Finland","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,107,,
"CPL","Comparative price levels","FRA","France","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,96,,
"CPL","Comparative price levels","DEU","Germany","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,93,,
"CPL","Comparative price levels","GRC","Greece","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,74,,
"CPL","Comparative price levels","HUN","Hungary","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,54,,
"CPL","Comparative price levels","ISL","Iceland","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,144,,
"CPL","Comparative price levels","IRL","Ireland","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,108,,
"CPL","Comparative price levels","ITA","Italy","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,90,,
"CPL","Comparative price levels","JPN","Japan","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,87,,
"CPL","Comparative price levels","KOR","Korea","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,86,,
"CPL","Comparative price levels","LUX","Luxembourg","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,111,,
"CPL","Comparative price levels","MEX","Mexico","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,52,,
"CPL","Comparative price levels","NLD","Netherlands","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,99,,
"CPL","Comparative price levels","NZL","New Zealand","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,109,,
"CPL","Comparative price levels","NOR","Norway","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,121,,
"CPL","Comparative price levels","POL","Poland","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,51,,
"CPL","Comparative price levels","PRT","Portugal","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,74,,
"CPL","Comparative price levels","SVK","Slovak Republic","CAN","Canada CAD","2018-01","Jan-2018","NATCUR","National currency","0","Units",,,61,,
